{'start_at': '2020-01-12 00:00:00', 'end_at': '2020-01-13 00:00:00', 'session time': 0.20984387397766113, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.20965981483459473, 'persisted submissions in': 1.9073486328125e-05}
{'start_at': '2020-01-13 00:00:00', 'end_at': '2020-01-14 00:00:00', 'session time': 53.23462796211243, 'num of subs': 314, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 52.249292850494385, 'persisted submissions in': 0.9850738048553467}
{'start_at': '2020-01-14 00:00:00', 'end_at': '2020-01-15 00:00:00', 'session time': 47.20471978187561, 'num of subs': 300, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 46.25606179237366, 'persisted submissions in': 0.948491096496582}
{'start_at': '2020-01-15 00:00:00', 'end_at': '2020-01-16 00:00:00', 'session time': 48.07388377189636, 'num of subs': 296, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 47.15136194229126, 'persisted submissions in': 0.9223599433898926}
{'start_at': '2020-01-01 00:00:00', 'end_at': '2020-01-02 00:00:00', 'session time': 265.9713819026947, 'num of subs': 103, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 265.5970187187195, 'persisted submissions in': 0.37364888191223145}
{'start_at': '2020-01-02 00:00:00', 'end_at': '2020-01-03 00:00:00', 'session time': 48.08543372154236, 'num of subs': 270, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 47.23478102684021, 'persisted submissions in': 0.8503439426422119}
{'start_at': '2020-01-03 00:00:00', 'end_at': '2020-01-04 00:00:00', 'session time': 46.113476037979126, 'num of subs': 274, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 45.25060510635376, 'persisted submissions in': 0.8627147674560547}
{'start_at': '2020-01-16 00:00:00', 'end_at': '2020-01-17 00:00:00', 'session time': 145.0620219707489, 'num of subs': 296, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 144.08606696128845, 'persisted submissions in': 0.9757959842681885}
{'start_at': '2020-01-17 00:00:00', 'end_at': '2020-01-18 00:00:00', 'session time': 0.21440482139587402, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.21421599388122559, 'persisted submissions in': 2.193450927734375e-05}
{'start_at': '2020-01-18 00:00:00', 'end_at': '2020-01-19 00:00:00', 'session time': 0.26683902740478516, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.2664780616760254, 'persisted submissions in': 2.9802322387695312e-05}
